day,month,year,hour,minute,temp
21,2,2018,14,25,25.0876190476
21,2,2018,14,26,25.0820833333
21,2,2018,14,27,25.0851111111
21,2,2018,14,28,25.0704545455
21,2,2018,14,29,25.0597674419
21,2,2018,14,30,25.0554166667
21,2,2018,14,31,25.0561702128
21,2,2018,14,32,25.06675
21,2,2018,14,33,25.0453191489
21,2,2018,14,34,25.06
21,2,2018,14,35,25.0344444444
21,2,2018,14,36,25.0339130435
21,2,2018,14,37,25.0204761905
21,2,2018,14,38,25.0154545455
21,2,2018,14,39,25.014
21,2,2018,14,40,25.0122727273
21,2,2018,14,41,25.0111363636
21,2,2018,14,42,25.0064444444
21,2,2018,14,43,25.0077272727
21,2,2018,14,44,25.0079069767
21,2,2018,14,45,25.0009302326
21,2,2018,14,46,24.9990697674
21,2,2018,14,47,24.9934883721
21,2,2018,14,48,25.0011363636
21,2,2018,14,49,24.9934883721
21,2,2018,14,50,24.9918604651
21,2,2018,14,51,24.9855813953
21,2,2018,14,52,24.9862790698
21,2,2018,14,53,24.9709090909
21,2,2018,14,54,24.9693181818
21,2,2018,14,55,24.9668181818
21,2,2018,14,56,24.9545652174
21,2,2018,14,57,24.9488888889
21,2,2018,14,58,24.9428888889
21,2,2018,14,59,24.9421428571
21,2,2018,15,0,24.9359574468
21,2,2018,15,1,24.9474418605
21,2,2018,15,2,24.9410869565
21,2,2018,15,3,24.9526666667
21,2,2018,15,4,24.9686666667
21,2,2018,15,5,24.9775555556
21,2,2018,15,6,24.9895555556
21,2,2018,15,7,25.0056818182
21,2,2018,15,8,25.0202222222
21,2,2018,15,9,25.0355555556
21,2,2018,15,10,25.0535555556
21,2,2018,15,11,25.0702222222
21,2,2018,15,12,25.0929545455
21,2,2018,15,13,25.102
21,2,2018,15,14,25.1195555556
21,2,2018,15,15,25.1284444444
21,2,2018,15,16,25.1451111111
21,2,2018,15,17,25.1608888889
21,2,2018,15,18,25.1764444444
21,2,2018,15,19,25.1956818182
21,2,2018,15,20,25.2020454545
21,2,2018,15,21,25.2034782609
21,2,2018,15,22,25.2115555556
21,2,2018,15,23,25.2097777778
21,2,2018,15,24,25.2179545455
21,2,2018,15,25,25.2128888889
21,2,2018,15,26,25.2268181818
21,2,2018,15,27,25.2153333333
21,2,2018,15,28,25.2155555556
21,2,2018,15,29,25.2259090909
21,2,2018,15,30,25.2238636364
21,2,2018,15,31,25.2256818182
21,2,2018,15,32,25.2186666667
21,2,2018,15,33,25.2240909091
21,2,2018,15,34,25.2225
21,2,2018,15,35,25.2243181818
21,2,2018,15,36,25.2240909091
21,2,2018,15,37,25.2320454545
21,2,2018,15,38,25.2347727273
21,2,2018,15,39,25.2315909091
21,2,2018,15,40,25.2368181818
21,2,2018,15,41,25.2324444444
21,2,2018,15,42,25.2297777778
21,2,2018,15,43,25.2328888889
21,2,2018,15,44,25.2456818182
21,2,2018,15,45,25.2364444444
21,2,2018,15,46,25.2422222222
21,2,2018,15,47,25.2323913043
21,2,2018,15,48,25.2424444444
21,2,2018,15,49,25.2497777778
21,2,2018,15,50,25.2577777778
21,2,2018,15,51,25.2624444444
21,2,2018,15,52,25.2729787234
21,2,2018,15,53,25.2813333333
21,2,2018,15,54,25.3
21,2,2018,15,55,25.3044444444
21,2,2018,15,56,25.318
21,2,2018,15,57,25.3288888889
21,2,2018,15,58,25.3488636364
21,2,2018,15,59,25.3604545455
21,2,2018,16,0,25.3473170732
21,2,2018,16,1,25.3838636364
21,2,2018,16,2,25.3844444444
21,2,2018,16,3,25.4139130435
21,2,2018,16,4,25.4075
21,2,2018,16,5,25.4136363636
21,2,2018,16,6,25.4022222222
21,2,2018,16,7,25.4120454545
21,2,2018,16,8,25.4028888889
21,2,2018,16,9,25.3988888889
21,2,2018,16,10,25.3891111111
21,2,2018,16,11,25.3784444444
21,2,2018,16,12,25.3611111111
21,2,2018,16,13,25.348372093
21,2,2018,16,14,25.3337777778
21,2,2018,16,15,25.3144444444
21,2,2018,16,16,25.2975555556
21,2,2018,16,17,25.2746666667
21,2,2018,16,18,25.2613636364
21,2,2018,16,19,25.2391111111
21,2,2018,16,20,25.2202222222
21,2,2018,16,21,25.2031111111
21,2,2018,16,22,25.17975
21,2,2018,16,23,25.1386046512
21,2,2018,16,24,25.1462222222
21,2,2018,16,25,25.1291111111
21,2,2018,16,26,25.1227272727
21,2,2018,16,27,25.1042222222
21,2,2018,16,28,25.102
21,2,2018,16,29,25.0966666667
21,2,2018,16,30,25.0966666667
21,2,2018,16,31,25.0944444444
21,2,2018,16,32,25.0902173913
21,2,2018,16,33,25.1034090909
21,2,2018,16,34,25.1008888889
21,2,2018,16,35,25.0993478261
21,2,2018,16,36,25.1086666667
21,2,2018,16,37,25.1076086957
21,2,2018,16,38,25.1128888889
21,2,2018,16,39,25.10725
21,2,2018,16,40,25.1270454545
21,2,2018,16,41,25.128
21,2,2018,16,42,25.1180487805
21,2,2018,16,43,25.1404545455
21,2,2018,16,44,25.1536363636
21,2,2018,16,45,25.1493181818
21,2,2018,16,46,25.1513333333
21,2,2018,16,47,25.1575555556
21,2,2018,16,48,25.2376315789
21,2,2018,16,49,25.1802380952
21,2,2018,16,50,25.1609090909
21,2,2018,16,51,25.1591111111
21,2,2018,16,52,25.1604444444
21,2,2018,16,53,25.1684090909
21,2,2018,16,54,25.1727272727
21,2,2018,16,55,25.1745454545
21,2,2018,16,56,25.1939534884
